"result_set","dataset","feature_method","clustering_method","k_policy","gate_rule","gate_rule_recorded","seed","n_requested","n_features_realised","gate_n","k_true","k_estimated","k_used_clustering","n_clusters_found","n_cells_total","n_cells_scored","n_cells_dropped","n_cells_unlabelled","difs_stage1_n","difs_stage2_n","difs_ratio_nominal","ARI","FM","Jaccard","Purity","elapsed_sec","source_file","baron_repaired","ARI_before_repair","source_result_set","is_analysis_row"
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,0,1940,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.514979605410807,0.618428410801799,0.404055613322157,0.932080756214261,134.737,"Baron_FEAST_Refined Louvain_n0000_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,100,100,1940,14,66,66,2,8569,8569,0,NA,NA,NA,NA,0.0111547021808908,0.436584927512022,0.199216342528616,0.300385109114249,24804.739,"Baron_FEAST_Refined Louvain_n0100_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,100,100,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.532274691097211,0.62827935948237,0.423146372079254,0.893336445326176,127.573,"Baron_FEAST_Refined Louvain_n0100_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,200,200,1940,14,66,66,32,8569,8569,0,NA,NA,NA,NA,0.253946846671242,0.406752489072302,0.178379597978065,0.92251137822383,164.152,"Baron_FEAST_Refined Louvain_n0200_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,200,200,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.585599929805954,0.678783304443357,0.470623988160195,0.951102812463531,147.51,"Baron_FEAST_Refined Louvain_n0200_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,300,300,1940,14,66,66,31,8569,8569,0,NA,NA,NA,NA,0.27300118977267,0.428926474837209,0.191428693531804,0.949819115416035,176.914,"Baron_FEAST_Refined Louvain_n0300_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,300,300,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.592147985640595,0.683438570111831,0.477522007975924,0.94888551756331,175.032,"Baron_FEAST_Refined Louvain_n0300_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,500,500,1940,14,66,66,32,8569,8569,0,NA,NA,NA,NA,0.299034088279991,0.453827760605162,0.211200553421721,0.968257673007352,170.332,"Baron_FEAST_Refined Louvain_n0500_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,500,500,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.584051878903005,0.676662060677949,0.469544328041566,0.942000233399463,133.981,"Baron_FEAST_Refined Louvain_n0500_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,750,750,1940,14,66,66,35,8569,8569,0,NA,NA,NA,NA,0.271297220355416,0.429154226978295,0.18955419818765,0.962422686427821,196.369,"Baron_FEAST_Refined Louvain_n0750_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,750,750,1940,14,66,14,13,8569,8569,0,NA,NA,NA,NA,0.573981257666233,0.664839775245932,0.461709919963766,0.932780954603804,149.302,"Baron_FEAST_Refined Louvain_n0750_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,1000,1000,1940,14,66,66,35,8569,8569,0,NA,NA,NA,NA,0.279575566802568,0.437000314392033,0.195837303395991,0.96604037810713,142.461,"Baron_FEAST_Refined Louvain_n1000_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,1000,1000,1940,14,66,14,13,8569,8569,0,NA,NA,NA,NA,0.568272838982044,0.656911046413129,0.458376475891964,0.91107480452795,150.628,"Baron_FEAST_Refined Louvain_n1000_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,1500,1500,1940,14,66,66,35,8569,8569,0,NA,NA,NA,NA,0.27342179936858,0.431072919552092,0.191194420825475,0.965223479985996,159.392,"Baron_FEAST_Refined Louvain_n1500_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,1500,1500,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.511860928101925,0.615831856394873,0.401169587542428,0.931263858093126,149.189,"Baron_FEAST_Refined Louvain_n1500_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","Refined Louvain","estimated","submitted",TRUE,1,2500,2500,1940,14,66,66,38,8569,8569,0,NA,NA,NA,NA,0.27233680520552,0.430344136188444,0.19027893056006,0.956354300385109,182.659,"Baron_FEAST_Refined Louvain_n2500_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
