"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Darmanis","Variance","Refined Louvain","estimated",1000,1000,0.839055793991416,FALSE
"Darmanis","DIFS","SC3","estimated",1000,1000,0.873390557939914,FALSE
"Darmanis","FEAST","SC3","estimated",1000,1000,0.854077253218884,FALSE
"Darmanis","GateOnly","SC3","estimated",1000,1000,0.824034334763948,FALSE
"Darmanis","Seurat","SC3","estimated",1000,1000,0.849785407725322,FALSE
"Darmanis","Variance","SC3","estimated",1000,1000,0.856223175965665,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",1500,1500,0.862660944206009,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",1500,1500,0.832618025751073,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",1500,1500,0.86480686695279,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",1500,1500,0.836909871244635,FALSE
"Darmanis","Variance","Refined Louvain","estimated",1500,1500,0.854077253218884,FALSE
"Darmanis","DIFS","SC3","estimated",1500,1500,0.860515021459227,FALSE
"Darmanis","FEAST","SC3","estimated",1500,1500,0.873390557939914,FALSE
"Darmanis","GateOnly","SC3","estimated",1500,1500,0.86480686695279,FALSE
"Darmanis","Seurat","SC3","estimated",1500,1500,0.821888412017167,FALSE
"Darmanis","Variance","SC3","estimated",1500,1500,0.856223175965665,FALSE
"Darmanis","DIFS","Refined Louvain","estimated",2500,2500,0.851931330472103,FALSE
"Darmanis","FEAST","Refined Louvain","estimated",2500,2500,0.830472103004292,FALSE
"Darmanis","GateOnly","Refined Louvain","estimated",2500,2346,0.860515021459227,FALSE
"Darmanis","Seurat","Refined Louvain","estimated",2500,2500,0.858369098712446,FALSE
"Darmanis","Variance","Refined Louvain","estimated",2500,2500,0.862660944206009,FALSE
"Darmanis","DIFS","SC3","estimated",2500,2500,0.854077253218884,FALSE
"Darmanis","FEAST","SC3","estimated",2500,2500,0.830472103004292,FALSE
"Darmanis","GateOnly","SC3","estimated",2500,2346,0.851931330472103,FALSE
"Darmanis","Seurat","SC3","estimated",2500,2500,0.856223175965665,FALSE
"Darmanis","Variance","SC3","estimated",2500,2500,0.851931330472103,FALSE
"Darmanis","DIFS","Refined Louvain","true",0,2346,0.815450643776824,FALSE
